epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,1921.9,0.56733,0.61613,0.97258,0.97266,0.66667,0.74768,0.63411,0.78389,1.64335,1.07358,0.000173264,0.000173264,0.000173264
162,1933.61,0.54081,0.67521,0.95595,0.96977,0.66667,0.74772,0.64246,0.75916,1.539,1.06408,0.000169141,0.000169141,0.000169141
163,1944.61,0.47213,0.60203,0.9151,0.96895,0.66667,0.74772,0.64246,0.75159,1.51942,1.06767,0.000165017,0.000165017,0.000165017
164,1956.39,0.44721,0.59549,0.91313,0.97015,0.66667,0.74777,0.64249,0.73875,1.52267,1.06304,0.000160894,0.000160894,0.000160894
165,1967.62,0.49286,0.58959,0.93523,0.97192,0.66667,0.74772,0.64245,0.71296,1.50519,1.05725,0.000156771,0.000156771,0.000156771
166,1978.82,0.53955,0.61537,0.93623,0.97388,0.66667,0.74786,0.65916,0.68372,1.54525,1.05856,0.000152647,0.000152647,0.000152647
167,1990.65,0.51039,0.58493,0.94096,0.97525,0.66667,0.74786,0.68404,0.65501,1.57122,1.05847,0.000148524,0.000148524,0.000148524
168,2001.73,0.49915,0.62928,0.91431,0.97602,0.66667,0.74772,0.68387,0.64296,1.58711,1.04605,0.000144401,0.000144401,0.000144401
169,2013.16,0.49102,0.69187,0.9434,0.97639,0.66667,0.74772,0.66727,0.6532,1.62407,1.03298,0.000140277,0.000140277,0.000140277
170,2024.28,0.51502,0.63029,0.93366,0.97735,0.66667,0.74772,0.64383,0.69456,1.61779,1.03433,0.000136154,0.000136154,0.000136154
171,2035.3,0.55088,0.65118,0.93292,0.97966,0.66667,0.74764,0.64377,0.72508,1.65476,1.02142,0.000132031,0.000132031,0.000132031
172,2046.48,0.48643,0.56504,0.92027,0.98112,0.66667,0.74768,0.6438,0.74965,1.66805,1.01959,0.000127907,0.000127907,0.000127907
173,2057.5,0.51633,0.60538,0.95716,0.98268,0.66667,0.74772,0.61066,0.75619,1.68756,1.01535,0.000123784,0.000123784,0.000123784
174,2068.56,0.50814,0.63952,0.91855,0.98398,0.66667,0.74777,0.64387,0.74343,1.70185,1.00375,0.00011966,0.00011966,0.00011966
175,2080.74,0.47227,0.55818,0.92523,0.98432,0.66667,0.75865,0.64709,0.71899,1.68771,0.99337,0.000115537,0.000115537,0.000115537
176,2091.78,0.44692,0.5411,0.92696,0.9844,0.66667,0.75917,0.6306,0.69063,1.644,0.98707,0.000111414,0.000111414,0.000111414
177,2102.84,0.45313,0.54533,0.93596,0.98471,0.66667,0.76098,0.64778,0.65601,1.60282,0.97827,0.00010729,0.00010729,0.00010729
178,2113.92,0.49362,0.55855,0.92445,0.98501,0.66667,0.76435,0.63913,0.63118,1.57934,0.96907,0.000103167,0.000103167,0.000103167
179,2125,0.4309,0.58651,0.94294,0.98468,0.66667,0.76667,0.63978,0.6107,1.59643,0.96177,9.90437e-05,9.90437e-05,9.90437e-05
